"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"void cpy_scalar<&(void cpy_1_scalar<float, float>(char const*, char*))>(char const*, char*, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long)",17536,189831600,10825.250912,0.3347,4479,501434,21838.542837
"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int)",4384,177975693,40596.645301,0.3138,6560,611994,49676.583138
"void ssm_conv_f32<true, 128ul, 4ul>(float const*, float const*, float const*, int, int, int, int, float*, int, int, int, long)",9792,137612946,14053.609681,0.2427,10399,50879,4228.036864
"__amd_rocclr_copyBuffer",15638,103225901,6600.965661,0.1820,2560,15360,1266.433949
"void rope_multi<true, false, float>(float const*, float*, int, int, int, int, int, int, int, int, int, int, int const*, float, float, float, rope_corr_dims, float, float const*, mrope_sections, bool)",8768,69834666,7964.720119,0.1231,4480,195838,11336.117358
"void unary_op_kernel<&(op_softplus(float)), float>(float const*, float*, int)",13152,56840689,4321.828543,0.1002,3040,23519,229.977069
"void unary_op_kernel<&(op_sigmoid(float)), float>(float const*, float*, int)",13152,56401434,4288.430201,0.0995,2400,7040,219.593481
"void k_bin_bcast<&(op_mul(float, float)), float, float, float, float const*>(float const*, float const*, float*, int, int, int, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, float const*)",13152,55987996,4256.994830,0.0987,3838,7040,193.517597
"void k_set_rows<float, long, __half>(float const*, long const*, __half*, long, long, long, long, long, long, long, long, long, long, long, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>)",8768,46381020,5289.806113,0.0818,3520,98879,5360.145003
"void unary_gated_op_kernel<&(op_sigmoid(float)), float>(float const*, float const*, float*, long, long, long, long)",4384,31947625,7287.323221,0.0563,4159,151358,11751.135183
"void mul_mat_vec_q8_0_repacked<1, 1, false>(unsigned char const*, block_q8_1 const*, float*, unsigned int, unsigned int, int const*, int const*, int const*, unsigned int, unsigned long, unsigned int, unsigned int)",32,28301603,884425.093750,0.0499,872950,931510,10376.428568
"scale_f32(float const*, float*, float, float, long)",1536,10586097,6891.990234,0.0187,3999,51680,2648.416882
"__amd_rocclr_fillBufferAligned",65,2571966,39568.707692,4.535e-03,3679,267356,53698.191975
"void flash_attn_mask_to_KV_max<8>(__half2 const*, int*, int, int, int)",48,228317,4756.604167,4.026e-04,4639,5280,122.346689
"void quantize_q8_1<32>(float const*, void*, long, long, long, long, long, unsigned int, HIP_vector_type<unsigned int, 3u>)",32,144480,4515.000000,2.548e-04,4160,4960,249.644909
